| Código do Requisito | Descrição                                                                                                                                                                                                                                            | Classificação | Prioridade |
| ------------------- | ---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- | ------------- | ---------- |
| RF1                 | CRUD livros do aplicativo e suas informações(nome, autor, nacionalidade, 1ª edição, editora, linguagem original, prêmios, número de páginas, ano de lançamento e gênero.)                                                                            | Funcional     | 1          |
| RF2                 | CRUD da capa do livro , frases, opinião e avaliação                                                                                                                                                                                                  | Funcional     | 4          |
| RF3                 | O usuário poderá salvar a data de início da leitura, página em que parou de ler e uma previsão de término da leitura.                                                                                                                                | Funcional     | 3          |
| RF4                 | O usuário poderá criar uma lista de desejos contendo os livros que deseja adquirir/ler.                                                                                                                                                              | Funcional     | 3          |
| RF5                 | O usuário será capaz de visualizar uma lista dos livros cadastrados podendo escolher o tipo de ordenação ( por autor, por ano, por gênero ou por título)                                                                                             | Funcional     | 2          |
| RF6                 | O usuário poderá realizar um acompanhamento de leitura, com estabelecimento de metas periódicas (por livros, páginas ou capítulos), barra de progresso (porcentagem), número de livros lidos e livros restantes de acordo com os livros cadastrados. | Funcional     | 3          |
| RNF1                | O software será desenvolvido em Java                                                                                                                                                                                                                 | Não Funcional | 1          |
| RNF2                | O software será executado por meio de um arquivo .jar                                                                                                                                                                                                | Não Funcional | 4          |
| RNF3                | Serão gerados arquivos json para armazenamento das informações inseridas. Esses arquivos serão lidos sempre que o programa for iniciado.                                                                                                             | Não Funcional | 3          |
| RNF4                | O software será desenvolvido para rodar em computadores e notebooks                                                                                                                                                                                  | Não Funcional | 2          |
| RNF5                | O software deve ser desenvolvido utilizando o paradigma orientado a objetos.                                                                                                                                                                         | Não Funcional | 1          |
| RNF7                | O software será composto por uma interface gráfica para uso.                                                                                                                                                                                         | Não Funcional | 1          |
| RNF8                | As porcentagens serão apresentadas e armazenadas com uma casa decimal.                                                                                                                                                                               | Não Funcional | 3          |
| RNF9                | Serão aceitos caracteres latinos com algarismos especiais da língua portuguesa nas entradas referentes a nomes e textos em geral.                                                                                                                    | Não Funcional | 4          |
| RNF10               | O software será apresentado na linguagem PT(BR)                                                                                                                                                                                                      | Não Funcional | 3          |
